Freq[Hz]  Imp[Ohm]  Phase[Deg]
806.349      1.727     9.931
818.078      1.729    10.270
829.977      1.731    10.610
842.050      1.733    10.951
854.298      1.735    11.294
866.724      1.737    11.639
879.330      1.739    11.985
892.120      1.741    12.332
905.097      1.744    12.681
918.262      1.746    13.031
931.618      1.749    13.384
945.169      1.751    13.737
958.917      1.754    14.093
972.864      1.757    14.450
987.015      1.759    14.809
1001.37      1.762    15.170
1015.94      1.765    15.532
1030.71      1.769    15.896
1045.71      1.772    16.262
1060.92      1.775    16.630
1076.35      1.779    17.000
1092.00      1.782    17.372
1107.89      1.786    17.745
1124.00      1.790    18.121
1140.35      1.793    18.498
1156.94      1.797    18.877
1173.77      1.802    19.259
1190.84      1.806    19.642
1208.16      1.810    20.027
1225.73      1.815    20.414
1243.56      1.819    20.803
1261.65      1.824    21.194
1280.00      1.829    21.587
1298.62      1.834    21.981
1317.51      1.839    22.378
1336.67      1.844    22.777
1356.11      1.850    23.177
1375.84      1.855    23.580
1395.85      1.861    23.984
1416.15      1.867    24.391
1436.75      1.873    24.799
1457.65      1.879    25.209
1478.85      1.886    25.621
1500.36      1.892    26.034
1522.19      1.899    26.450
1544.33      1.906    26.867
1566.79      1.913    27.286
1589.58      1.921    27.707
1612.70      1.928    28.129
1636.16      1.936    28.553
1659.95      1.944    28.978
1684.10      1.952    29.405
1708.60      1.960    29.834
1733.45      1.969    30.264
1758.66      1.977    30.695
1784.24      1.986    31.128
1810.19      1.995    31.562
1836.52      2.005    31.998
1863.24      2.015    32.434
1890.34      2.024    32.872
1917.83      2.035    33.311
1945.73      2.045    33.751
1974.03      2.056    34.192
2002.74      2.066    34.634
2031.87      2.078    35.077
2061.43      2.089    35.520
2091.41      2.101    35.965
2121.83      2.113    36.410
2152.69      2.125    36.855
2184.01      2.137    37.301
2215.77      2.150    37.748
2248.00      2.163    38.195
2280.70      2.177    38.642
2313.87      2.191    39.090
2347.53      2.205    39.537
2381.68      2.219    39.985
2416.32      2.234    40.433
2451.46      2.249    40.881
2487.12      2.264    41.328
2523.30      2.280    41.776
2560.00      2.296    42.223
2597.24      2.312    42.669
2635.01      2.329    43.115
2673.34      2.346    43.561
2712.23      2.364    44.006
2751.68      2.382    44.451
2791.70      2.400    44.894
2832.31      2.419    45.337
2873.50      2.438    45.779
2915.30      2.457    46.219
2957.70      2.477    46.659
3000.72      2.497    47.098
3044.37      2.518    47.535
3088.65      2.539    47.971
3133.58      2.561    48.405
3179.16      2.583    48.839
3225.40      2.606    49.270
3272.31      2.629    49.700
3319.91      2.652    50.128
3368.20      2.676    50.555
3417.19      2.700    50.979
3466.89      2.725    51.402
3517.32      2.751    51.823
3568.48      2.776    52.242
3620.39      2.803    52.659
3673.05      2.830    53.073
3726.47      2.857    53.486
3780.67      2.885    53.896
3835.67      2.914    54.303
3891.46      2.943    54.709
3948.06      2.972    55.112
4005.49      3.002    55.512
4063.75      3.033    55.910
4122.86      3.064    56.306
4182.82      3.096    56.699
4243.66      3.129    57.089
4305.39      3.162    57.476
4368.01      3.196    57.861
4431.55      3.230    58.243
4496.01      3.265    58.622
4561.40      3.301    58.998
4627.75      3.337    59.372
4695.06      3.374    59.742
4763.35      3.411    60.110
4832.64      3.450    60.474
4902.93      3.489    60.836
4974.24      3.528    61.194
5046.60      3.569    61.550
5120.00      3.610    61.902
5194.47      3.651    62.251
5270.03      3.694    62.598
5346.68      3.737    62.941
5424.45      3.781    63.281
5503.35      3.826    63.617
5583.40      3.871    63.951
5664.61      3.918    64.282
5747.01      3.965    64.609
5830.60      4.013    64.933
5915.41      4.061    65.254
6001.45      4.111    65.572
6088.74      4.161    65.887
6177.30      4.212    66.198
6267.15      4.264    66.506
6358.31      4.317    66.811
6450.80      4.371    67.113
6544.62      4.426    67.412
6639.82      4.482    67.707
6736.40      4.538    68.000
6834.38      4.596    68.289
6933.79      4.654    68.575
7034.64      4.713    68.858
7136.96      4.774    69.138
7240.77      4.835    69.414
7346.09      4.897    69.688
7452.94      4.961    69.959
7561.35      5.025    70.226
7671.33      5.090    70.490
7782.91      5.157    70.752
7896.12      5.224    71.010
8010.97      5.293    71.265
8127.49      5.363    71.518
8245.71      5.433    71.767
8365.65      5.505    72.013
8487.33      5.578    72.257
8610.78      5.652    72.497
8736.03      5.728    72.735
8863.09      5.804    72.969
8992.01      5.882    73.201
9122.80      5.961    73.430
9255.50      6.041    73.656
9390.12      6.123    73.880
9526.70      6.206    74.101
9665.27      6.290    74.318
9805.86      6.375    74.534
9948.49      6.462    74.746
10093.2      6.550    74.956
10240.0      6.639    75.163
10388.9      6.730    75.368
10540.1      6.822    75.570
10693.4      6.915    75.769
10848.9      7.010    75.966
11006.7      7.107    76.160
11166.8      7.205    76.352
11329.2      7.304    76.541
11494.0      7.405    76.728
11661.2      7.508    76.912
11830.8      7.612    77.094
12002.9      7.717    77.274
12177.5      7.824    77.451
12354.6      7.933    77.626
12534.3      8.044    77.799
12716.6      8.156    77.969
12901.6      8.270    78.137
13089.2      8.386    78.303
13279.6      8.503    78.467
13472.8      8.622    78.628
13668.8      8.743    78.788
13867.6      8.866    78.945
14069.3      8.990    79.100
14273.9      9.117    79.253
14481.5      9.245    79.404
14692.2      9.375    79.553
14905.9      9.508    79.700
15122.7      9.642    79.845
15342.7      9.778    79.988
15565.8      9.916    80.129
15792.2     10.057    80.268
16021.9     10.199    80.405
16255.0     10.344    80.540
16491.4     10.490    80.674
16731.3     10.639    80.806
16974.7     10.790    80.935
17221.6     10.944    81.063
17472.1     11.099    81.190
17726.2     11.257    81.314
17984.0     11.418    81.437
18245.6     11.580    81.558
18511.0     11.745    81.678
18780.2     11.913    81.796
19053.4     12.083    81.912
19330.5     12.256    82.027
19611.7     12.431    82.140
19897.0     12.608    82.251
20186.4     12.789    82.361
20480.0     12.972    82.469
20777.9     13.157    82.576
21080.1     13.346    82.682
21386.7     13.537    82.786
21697.8     13.731    82.888
22013.4     13.928    82.989
22333.6     14.128    83.089
22658.4     14.330    83.187
22988.0     14.536    83.284
23322.4     14.745    83.379
23661.6     14.957    83.474
24005.8     15.172    83.567
24355.0     15.390    83.658
24709.2     15.611    83.748
25068.6     15.836    83.837
25433.2     16.064    83.925
25803.2     16.295    84.012
26178.5     16.530    84.097
26559.3     16.768    84.181
26945.6     17.009    84.264
27337.5     17.254    84.346
27735.2     17.503    84.426
28138.6     17.756    84.506
28547.9     18.012    84.584
28963.1     18.272    84.661
29384.4     18.535    84.738
29811.8     18.803    84.813
30245.4     19.074    84.887
30685.3     19.350    84.960
31131.7     19.629    85.032
31584.5     19.912    85.102
32043.9     20.200    85.172
32510.0     20.492    85.241
32982.8     20.788    85.309
33462.6     21.089    85.376
33949.3     21.394    85.442
34443.1     21.703    85.507
34944.1     22.017    85.572
35452.4     22.335    85.635
35968.0     22.659    85.697
36491.2     22.986    85.759
37022.0     23.319    85.819
37560.5     23.657    85.879
38106.8     23.999    85.938
38661.1     24.347    85.996
39223.4     24.699    86.053
39793.9     25.057    86.110
