Freq[Hz]     dBSPL  Phase[Deg]
7034.64      6.047    -0.003
7136.96      6.041    -0.046
7240.77      6.034    -0.064
7346.09      6.027    -0.059
7452.94      6.023    -0.041
7561.35      6.021    -0.020
7671.33      6.021    -0.002
7782.91      6.021    -0.014
7896.12      6.020    -0.030
8010.97      6.018    -0.048
8127.49      6.014    -0.063
8245.71      6.009    -0.064
8365.65      6.002    -0.040
8487.33      5.998     0.011
8610.78      5.999     0.076
8736.03      6.005     0.133
8863.09      6.015     0.160
8992.01      6.025     0.144
9122.80      6.032     0.096
9255.50      6.033     0.040
9390.12      6.029     0.004
9526.70      6.023     0.002
9665.27      6.021     0.025
9805.86      6.023     0.051
9948.49      6.028     0.056
10093.2      6.033     0.031
10240.0      6.034    -0.010
10388.9      6.030    -0.045
10540.1      6.025    -0.059
10693.4      6.020    -0.048
10848.9      6.018    -0.026
11006.7      6.019    -0.007
11166.8      6.020     0.000
11329.2      6.019     0.003
11494.0      6.018     0.012
11661.2      6.018     0.021
11830.8      6.019     0.031
12002.9      6.021     0.038
12177.5      6.024     0.036
12354.6      6.026     0.020
12534.3      6.026    -0.002
12716.6      6.024    -0.017
12901.6      6.021    -0.013
13089.2      6.020     0.004
13279.6      6.023     0.013
13472.8      6.026    -0.001
13668.8      6.025    -0.027
13867.6      6.021    -0.039
14069.3      6.018    -0.024
14273.9      6.018    -0.003
14481.5      6.020     0.003
14692.2      6.020     0.004
14905.9      6.021     0.008
15122.7      6.021     0.004
15342.7      6.021     0.008
15565.8      6.022     0.017
15792.2      6.026     0.006
16021.9      6.025    -0.028
16255.0      6.020    -0.043
16491.4      6.016    -0.017
16731.3      6.018     0.015
16974.7      6.022     0.013
17221.6      6.022    -0.006
17472.1      6.020    -0.008
17726.2      6.020     0.001
17984.0      6.021     0.001
18245.6      6.021     0.002
18511.0      6.021     0.003
18780.2      6.021     0.008
19053.4      6.024     0.002
19330.5      6.023    -0.023
19611.7      6.019    -0.029
19897.0      6.016    -0.002
20186.4      6.019     0.015
20480.0      6.021     0.006
20777.9      6.020     0.001
21080.1      6.021     0.004
21386.7      6.021     0.001
21697.8      6.021    -0.002
22013.4      6.021    -0.006
22333.6      6.020    -0.003
22658.4      6.020     0.003
22988.0      6.021     0.004
23322.4      6.021    -0.001
23661.6      6.020    -0.003
24005.8      6.020     0.002
24355.0      6.021     0.003
24709.2      6.021     0.001
25068.6      6.021     0.000
25433.2      6.021    -0.005
25803.2      6.020    -0.004
26178.5      6.020     0.003
26559.3      6.020     0.005
26945.6      6.021     0.007
27337.5      6.022     0.000
27735.2      6.021    -0.004
28138.6      6.021     0.000
28547.9      6.021     0.000
28963.1      6.020     0.000
29384.4      6.020     0.003
29811.8      6.021     0.003
30245.4      6.021    -0.002
30685.3      6.020    -0.006
31131.7      6.020     0.003
31584.5      6.021     0.000
32043.9      6.021    -0.001
32510.0      6.021     0.000
32982.8      6.020     0.001
33462.6      6.021     0.004
33949.3      6.021    -0.004
34443.1      6.021     0.000
34944.1      6.021    -0.001
35452.4      6.020     0.001
35968.0      6.021     0.000
36491.2      6.021     0.000
37022.0      6.021    -0.003
37560.5      6.020     0.000
38106.8      6.021     0.001
38661.1      6.021     0.000
39223.4      6.021    -0.001
39793.9      6.021    -0.001
