Freq[Hz]     dBSPL  Phase[Deg]
918.262     90.252    84.226
931.618     90.304    83.719
945.169     90.390    83.242
958.917     90.510    82.733
972.864     90.657    82.142
987.015     90.817    81.439
1001.37     90.976    80.619
1015.94     91.119    79.705
1030.71     91.241    78.731
1045.71     91.343    77.736
1060.92     91.432    76.753
1076.35     91.517    75.805
1092.00     91.601    74.902
1107.89     91.687    74.043
1124.00     91.777    73.221
1140.35     91.874    72.419
1156.94     91.982    71.611
1173.77     92.108    70.763
1190.84     92.252    69.841
1208.16     92.407    68.826
1225.73     92.556    67.722
1243.56     92.681    66.551
1261.65     92.774    65.352
1280.00     92.844    64.150
1298.62     92.912    62.952
1317.51     92.999    61.737
1336.67     93.109    60.471
1356.11     93.228    59.125
1375.84     93.329    57.696
1395.85     93.392    56.214
1416.15     93.409    54.739
1436.75     93.386    53.336
1457.65     93.337    52.062
1478.85     93.283    50.943
1500.36     93.246    49.960
1522.19     93.240    49.058
1544.33     93.270    48.165
1566.79     93.328    47.209
1589.58     93.395    46.147
1612.70     93.451    44.974
1636.16     93.480    43.716
1659.95     93.473    42.420
1684.10     93.434    41.136
1708.60     93.375    39.894
1733.45     93.311    38.698
1758.66     93.254    37.529
1784.24     93.205    36.371
1810.19     93.147    35.231
1836.52     93.049    34.162
1863.24     92.886    33.255
1890.34     92.657    32.615
1917.83     92.393    32.330
1945.73     92.151    32.426
1974.03     91.979    32.851
2002.74     91.893    33.486
2031.87     91.874    34.195
2061.43     91.895    34.866
2091.41     91.944    35.428
2121.83     92.023    35.839
2152.69     92.129    36.081
2184.01     92.246    36.162
2215.77     92.346    36.116
2248.00     92.409    36.005
2280.70     92.434    35.896
2313.87     92.445    35.840
2347.53     92.472    35.847
2381.68     92.537    35.884
2416.32     92.645    35.884
2451.46     92.786    35.766
2487.12     92.947    35.463
2523.30     93.119    34.931
2560.00     93.293    34.160
2597.24     93.449    33.177
2635.01     93.565    32.043
2673.34     93.623    30.838
2712.23     93.619    29.648
2751.68     93.571    28.549
2791.70     93.505    27.589
2832.31     93.444    26.778
2873.50     93.397    26.100
2915.30     93.363    25.519
2957.70     93.333    25.002
3000.72     93.303    24.533
3044.37     93.267    24.116
3088.65     93.222    23.768
3133.58     93.169    23.504
3179.16     93.114    23.332
3225.40     93.072    23.239
3272.31     93.054    23.194
3319.91     93.064    23.150
3368.20     93.097    23.062
3417.19     93.141    22.898
3466.89     93.188    22.641
3517.32     93.230    22.296
3568.48     93.265    21.878
3620.39     93.291    21.409
3673.05     93.305    20.913
3726.47     93.309    20.411
3780.67     93.304    19.920
3835.67     93.291    19.454
3891.46     93.273    19.023
3948.06     93.251    18.630
4005.49     93.225    18.279
4063.75     93.196    17.971
4122.86     93.163    17.707
4182.82     93.126    17.488
4243.66     93.090    17.319
4305.39     93.061    17.197
4368.01     93.044    17.113
4431.55     93.042    17.051
4496.01     93.054    16.986
4561.40     93.077    16.892
4627.75     93.106    16.746
4695.06     93.136    16.536
4763.35     93.164    16.263
4832.64     93.185    15.936
4902.93     93.195    15.576
4974.24     93.192    15.206
5046.60     93.176    14.856
5120.00     93.149    14.550
5194.47     93.117    14.308
5270.03     93.083    14.136
5346.68     93.053    14.030
5424.45     93.031    13.974
5503.35     93.020    13.942
5583.40     93.019    13.909
5664.61     93.025    13.851
5747.01     93.037    13.753
5830.60     93.048    13.612
5915.41     93.056    13.435
6001.45     93.058    13.236
6088.74     93.054    13.034
6177.30     93.045    12.845
6267.15     93.032    12.678
6358.31     93.019    12.535
6450.80     93.007    12.412
6544.62     92.998    12.299
6639.82     92.991    12.186
6736.40     92.985    12.067
6834.38     92.977    11.942
6933.79     92.967    11.817
7034.64     92.953    11.699
7136.96     92.937    11.597
7240.77     92.919    11.515
7346.09     92.902    11.453
7452.94     92.886    11.408
7561.35     92.872    11.373
7671.33     92.859    11.343
7782.91     92.846    11.315
7896.12     92.833    11.289
8010.97     92.819    11.271
8127.49     92.803    11.267
8245.71     92.787    11.282
8365.65     92.771    11.321
8487.33     92.757    11.381
8610.78     92.746    11.456
8736.03     92.739    11.535
8863.09     92.734    11.611
8992.01     92.729    11.682
9122.80     92.722    11.757
9255.50     92.711    11.854
9390.12     92.695    11.999
9526.70     92.672    12.216
9665.27     92.650    12.514
9805.86     92.642    12.874
9948.49     92.662    13.251
10093.2     92.723    13.576
10240.0     92.820    13.784
10388.9     92.928    13.841
10540.1     93.023    13.752
10693.4     93.087    13.556
10848.9     93.120    13.303
11006.7     93.132    13.038
11166.8     93.140    12.788
11329.2     93.149    12.558
11494.0     93.160    12.345
11661.2     93.165    12.146
11830.8     93.159    11.966
12002.9     93.141    11.815
12177.5     93.116    11.707
12354.6     93.090    11.651
12534.3     93.068    11.648
12716.6     93.050    11.695
12901.6     93.036    11.785
13089.2     93.027    11.912
13279.6     93.023    12.071
13472.8     93.024    12.256
13668.8     93.036    12.458
13867.6     93.062    12.658
14069.3     93.107    12.821
14273.9     93.176    12.896
14481.5     93.266    12.828
14692.2     93.372    12.571
14905.9     93.479    12.103
15122.7     93.561    11.450
15342.7     93.594    10.677
15565.8     93.559     9.881
15792.2     93.452     9.174
16021.9     93.288     8.664
16255.0     93.101     8.422
16491.4     92.921     8.469
16731.3     92.771     8.778
16974.7     92.659     9.281
17221.6     92.581     9.896
17472.1     92.534    10.550
17726.2     92.514    11.186
17984.0     92.513    11.771
18245.6     92.521    12.290
18511.0     92.527    12.745
18780.2     92.523    13.160
19053.4     92.508    13.569
19330.5     92.482    14.013
19611.7     92.445    14.533
19897.0     92.401    15.170
20186.4     92.355    15.953
20480.0     92.320    16.892
20777.9     92.311    17.968
21080.1     92.345    19.136
21386.7     92.427    20.329
21697.8     92.555    21.469
22013.4     92.723    22.482
22333.6     92.927    23.301
22658.4     93.160    23.873
22988.0     93.413    24.159
23322.4     93.672    24.139
23661.6     93.919    23.827
24005.8     94.136    23.269
24355.0     94.304    22.549
24709.2     94.407    21.771
25068.6     94.445    21.043
25433.2     94.436    20.443
25803.2     94.414    20.006
26178.5     94.418    19.709
26559.3     94.466    19.483
26945.6     94.547    19.254
27337.5     94.631    18.983
27735.2     94.690    18.680
28138.6     94.714    18.392
28547.9     94.713    18.172
28963.1     94.714    18.040
29384.4     94.748    17.963
29811.8     94.833    17.855
30245.4     94.969    17.618
30685.3     95.130    17.176
31131.7     95.280    16.518
31584.5     95.385    15.687
32043.9     95.431    14.755
32510.0     95.425    13.792
32982.8     95.399    12.837
33462.6     95.383    11.895
33949.3     95.382    10.949
34443.1     95.378     9.982
34944.1     95.337     8.992
35452.4     95.246     7.996
35968.0     95.116     7.021
36491.2     94.967     6.098
37022.0     94.807     5.249
37560.5     94.619     4.499
38106.8     94.385     3.894
38661.1     94.114     3.425
39223.4     93.880     3.110
39793.9     93.707     2.901
