Freq[Hz]     dBSPL  Phase[Deg]
500.686     96.838    47.490
507.968     97.047    43.362
515.357     97.212    39.378
522.853     97.329    35.576
530.458     97.378    31.973
538.174     97.355    28.575
546.002     97.283    25.386
553.943     97.197    22.402
562.001     97.128    19.595
570.175     97.094    16.887
578.469     97.092    14.159
586.883     97.118    11.283
595.419     97.164     8.160
604.080     97.204     4.756
612.866     97.190     1.123
621.780     97.065    -2.618
630.824     96.777    -6.292
640.000     96.300    -9.691
649.309     95.644   -12.581
658.753     94.857   -14.731
668.335     94.024   -15.955
678.056     93.245   -16.186
687.919     92.595   -15.524
697.925     92.091   -14.191
708.077     91.707   -12.429
718.376     91.404   -10.401
728.825     91.169    -8.187
739.426     91.019    -5.862
750.181     90.997    -3.586
761.093     91.143    -1.656
772.163     91.466    -0.434
783.394     91.923    -0.215
794.789     92.422    -1.112
806.349     92.859    -3.041
818.078     93.148    -5.774
829.977     93.228    -9.014
842.050     93.057   -12.424
854.298     92.621   -15.641
866.724     91.922   -18.265
879.330     90.990   -19.854
892.120     89.896   -19.926
905.097     88.765   -18.049
918.262     87.782   -14.047
931.618     87.125    -8.270
945.169     86.875    -1.623
958.917     86.986     4.829
972.864     87.348    10.362
987.015     87.854    14.709
1001.37     88.426    17.901
1015.94     89.010    20.092
1030.71     89.577    21.457
1045.71     90.113    22.159
1060.92     90.609    22.338
1076.35     91.056    22.115
1092.00     91.450    21.595
1107.89     91.789    20.864
1124.00     92.080    19.988
1140.35     92.335    19.016
1156.94     92.565    17.980
1173.77     92.771    16.913
1190.84     92.946    15.855
1208.16     93.078    14.857
1225.73     93.163    13.977
1243.56     93.217    13.265
1261.65     93.271    12.730
1280.00     93.361    12.341
1298.62     93.506    12.020
1317.51     93.703    11.667
1336.67     93.933    11.190
1356.11     94.179    10.518
1375.84     94.435     9.609
1395.85     94.698     8.438
1416.15     94.962     6.994
1436.75     95.212     5.283
1457.65     95.430     3.329
1478.85     95.602     1.178
1500.36     95.713    -1.098
1522.19     95.759    -3.412
1544.33     95.734    -5.681
1566.79     95.647    -7.819
1589.58     95.519    -9.770
1612.70     95.372   -11.503
1636.16     95.226   -13.014
1659.95     95.093   -14.336
1684.10     94.975   -15.523
1708.60     94.873   -16.630
1733.45     94.785   -17.699
1758.66     94.697   -18.749
1784.24     94.591   -19.767
