Freq[Hz]     dBSPL  Phase[Deg]
29811.8     91.649     0.202
30245.4     91.649     0.199
30685.3     91.649     0.196
31131.7     91.649     0.193
31584.5     91.649     0.190
32043.9     91.649     0.188
32510.0     91.649     0.185
32982.8     91.649     0.182
33462.6     91.649     0.180
33949.3     91.649     0.177
34443.1     91.649     0.175
34944.1     91.649     0.172
35452.4     91.649     0.170
35968.0     91.649     0.167
36491.2     91.649     0.165
37022.0     91.649     0.162
37560.5     91.649     0.160
38106.8     91.649     0.158
38661.1     91.649     0.156
39223.4     91.649     0.153
39793.9     91.649     0.151
