Freq[Hz]  Imp[Ohm]  Phase[Deg]
1863.24      4.726    11.835
1890.34      4.739    11.982
1917.83      4.751    12.122
1945.73      4.764    12.256
1974.03      4.776    12.385
2002.74      4.788    12.509
2031.87      4.801    12.630
2061.43      4.813    12.747
2091.41      4.826    12.861
2121.83      4.838    12.973
2152.69      4.850    13.082
2184.01      4.863    13.188
2215.77      4.875    13.293
2248.00      4.888    13.396
2280.70      4.900    13.496
2313.87      4.912    13.596
2347.53      4.925    13.694
2381.68      4.937    13.790
2416.32      4.950    13.885
2451.46      4.962    13.979
2487.12      4.974    14.072
2523.30      4.987    14.164
2560.00      4.999    14.255
2597.24      5.012    14.345
2635.01      5.024    14.434
2673.34      5.036    14.523
2712.23      5.049    14.611
2751.68      5.061    14.698
2791.70      5.074    14.785
2832.31      5.086    14.871
2873.50      5.098    14.957
2915.30      5.111    15.042
2957.70      5.123    15.127
3000.72      5.135    15.211
3044.37      5.148    15.296
3088.65      5.160    15.379
3133.58      5.173    15.463
3179.16      5.185    15.546
3225.40      5.197    15.629
3272.31      5.210    15.711
3319.91      5.222    15.794
3368.20      5.235    15.875
3417.19      5.247    15.957
3466.89      5.259    16.038
3517.32      5.272    16.119
3568.48      5.284    16.199
3620.39      5.297    16.278
3673.05      5.309    16.356
3726.47      5.321    16.434
3780.67      5.334    16.510
3835.67      5.346    16.584
3891.46      5.359    16.655
3948.06      5.371    16.722
4005.49      5.383    16.784
4063.75      5.396    16.837
4122.86      5.408    16.880
4182.82      5.418    16.914
4243.66      5.426    16.946
4305.39      5.430    16.986
4368.01      5.432    17.041
4431.55      5.432    17.118
4496.01      5.432    17.220
4561.40      5.432    17.344
4627.75      5.432    17.489
4695.06      5.432    17.655
4763.35      5.432    17.842
4832.64      5.432    18.053
4902.93      5.432    18.293
4974.24      5.432    18.571
5046.60      5.432    18.908
5120.00      5.433    19.314
5194.47      5.438    19.781
5270.03      5.469    20.243
5346.68      5.530    20.580
5424.45      5.592    20.767
5503.35      5.653    20.812
5583.40      5.684    20.743
5664.61      5.690    20.674
5747.01      5.692    20.683
5830.60      5.694    20.777
5915.41      5.701    20.942
6001.45      5.715    21.141
6088.74      5.734    21.348
6177.30      5.758    21.542
6267.15      5.784    21.713
6358.31      5.810    21.859
6450.80      5.836    21.981
6544.62      5.862    22.079
6639.82      5.888    22.152
6736.40      5.911    22.202
6834.38      5.929    22.243
6933.79      5.942    22.292
7034.64      5.948    22.371
7136.96      5.950    22.498
7240.77      5.953    22.681
7346.09      5.961    22.906
7452.94      5.976    23.154
7561.35      5.998    23.401
7671.33      6.024    23.630
7782.91      6.052    23.831
7896.12      6.080    24.002
8010.97      6.108    24.144
8127.49      6.135    24.257
8245.71      6.161    24.343
8365.65      6.183    24.413
8487.33      6.197    24.482
8610.78      6.205    24.569
8736.03      6.208    24.691
8863.09      6.208    24.862
8992.01      6.208    25.086
9122.80      6.208    25.366
9255.50      6.208    25.710
9390.12      6.209    26.135
9526.70      6.211    26.654
9665.27      6.224    27.257
9805.86      6.263    27.883
9948.49      6.330    28.443
10093.2      6.425    28.850
10240.0      6.530    29.046
10388.9      6.619    29.049
10540.1      6.681    28.941
10693.4      6.713    28.814
10848.9      6.724    28.755
11006.7      6.727    28.817
11166.8      6.736    28.996
11329.2      6.759    29.243
11494.0      6.800    29.494
11661.2      6.855    29.697
11830.8      6.910    29.834
12002.9      6.951    29.935
12177.5      6.976    30.050
12354.6      6.994    30.215
12534.3      7.022    30.429
12716.6      7.069    30.656
12901.6      7.127    30.840
13089.2      7.183    30.962
13279.6      7.249    30.984
13472.8      7.297    30.935
13668.8      7.307    30.947
13867.6      7.311    31.056
14069.3      7.294    31.272
14273.9      7.304    31.616
14481.5      7.354    31.998
14692.2      7.416    32.346
14905.9      7.475    32.636
15122.7      7.535    32.855
15342.7      7.596    33.019
15565.8      7.659    33.151
15792.2      7.712    33.275
16021.9      7.749    33.417
